seed,agents,evacuated,not_evacuated,mean_evac_time,p90_evac_time,max_queue_any_edge,bottleneck_events,avg_queue_load,mean_speed_mps,mean_total_time_including_failures,evacuated_fraction,max_floor_clear_time,panic_freeze_events,panic_bad_route_choices,mean_reaction_time,mean_base_speed,scenario
12401,50,38,12,88.55263157894737,146.40000000000003,4,0,5.324,0.9428571428571428,307.3,0.76,148,679,0,84.54,1.0192291393136217,panic
12402,50,36,14,99.77777777777777,151.0,5,0,0.0,0.9911868390129259,351.84,0.72,168,0,0,89.26,1.0040874194020823,calm
12402,50,39,11,117.28205128205128,169.60000000000002,5,0,0.0,0.9900552486187846,311.48,0.78,360,246,0,89.26,1.0040874194020823,panic
12403,50,38,12,97.63157894736842,151.00000000000006,5,0,0.054,0.9773384763741563,314.2,0.76,208,0,0,76.9,1.0041338309547536,calm
12403,50,26,24,86.46153846153847,117.5,5,0,0.01,0.9926650366748166,524.96,0.52,1000,1024,0,76.9,1.0041338309547536,panic
12404,50,42,8,104.35714285714286,145.39999999999998,4,0,0.0,0.978515625,247.66,0.84,213,0,0,84.88,1.0001654776428985,calm
12404,50,30,20,93.53333333333333,132.4,4,0,0.032,0.9558823529411765,456.12,0.6,1000,836,0,84.88,1.0001654776428985,panic
12405,50,31,19,85.70967741935483,109.0,4,0,0.029,1.0139821029082774,433.14,0.62,1000,0,0,72.6,1.008412068679794,calm
12405,50,31,19,89.16129032258064,125.0,4,0,0.025,1.0037194473963869,435.28,0.62,1000,533,0,72.6,1.008412068679794,panic
12406,50,32,18,78.625,107.80000000000001,6,0,0.039,0.9731653888280394,410.32,0.64,1000,0,0,73.64,0.9907578786033465,calm
12406,50,33,17,79.81818181818181,109.6,6,0,0.039,0.974120082815735,392.68,0.66,1000,527,0,73.64,0.9907578786033465,panic
12407,50,42,8,81.88095238095238,132.29999999999998,5,0,0.0,1.0047801147227533,228.78,0.84,158,0,0,69.0,1.0009085887344777,calm
12407,50,39,11,90.25641025641026,137.40000000000003,5,0,0.0,1.0026041666666667,290.4,0.78,191,0,0,69.0,1.0009085887344777,panic
12408,50,41,9,92.4390243902439,173.0,4,0,0.0,1.0,255.8,0.82,214,0,0,79.74,1.0121783418758186,calm
12408,50,41,9,92.4390243902439,173.0,4,0,0.0,1.0,255.8,0.82,214,4,0,79.74,1.0121783418758186,panic
12409,50,39,11,95.15384615384616,154.40000000000012,5,0,0.006,0.9932432432432432,294.22,0.78,241,0,0,74.64,0.9856903208419987,calm
12409,50,38,12,93.65789473684211,147.8,5,0,1.719,0.9645669291338582,311.18,0.76,185,86,0,74.64,0.9856903208419987,panic
12410,50,24,26,70.54166666666667,98.19999999999999,3,0,0.004,0.9659685863874345,553.86,0.48,1000,0,0,85.06,0.9880098096508197,calm
12410,50,21,29,67.71428571428571,97.0,3,0,0.008,0.9683257918552036,608.44,0.42,1000,290,0,85.06,0.9880098096508197,panic
12411,50,29,21,80.6896551724138,117.2,3,0,0.011,0.9422835633626098,466.8,0.58,1000,0,0,81.32,0.9719099874899919,calm
12411,50,27,23,77.62962962962963,111.60000000000002,3,0,0.896,0.9409857328145266,501.92,0.54,1000,512,0,81.32,0.9719099874899919,panic
12412,50,7,43,62.0,73.4,3,0,0.0,0.9963235294117647,868.68,0.14,1000,0,0,95.64,0.9970095871707763,calm
12412,50,10,40,67.3,75.3,3,0,0.002,1.002439024390244,813.46,0.2,1000,0,0,95.64,0.9970095871707763,panic
12413,50,38,12,83.39473684210526,109.0,5,0,0.005,0.9935275080906149,303.38,0.76,1000,0,0,77.12,1.0064121063620897,calm
12413,50,40,10,91.675,148.60000000000002,5,0,0.0,1.0109409190371992,273.34,0.8,186,0,0,77.12,1.0064121063620897,panic
12414,50,31,19,79.90322580645162,106.0,4,0,0.003,0.984759671746776,429.54,0.62,1000,0,0,84.08,1.0082426859316933,calm
12414,50,27,23,71.85185185185185,96.4,4,0,0.94,0.9832904884318766,498.8,0.54,1000,551,0,84.08,1.0082426859316933,panic
12415,50,37,13,82.78378378378379,116.8,6,0,1.003,0.9593147751605996,321.26,0.74,147,0,0,72.52,0.9798634049608614,calm
12415,50,33,17,84.21212121212122,117.6,6,0,0.0,0.9685534591194969,395.58,0.66,147,1,0,72.52,0.9798634049608614,panic
12416,50,28,22,87.0,110.5,5,0,0.052,0.9779005524861878,488.72,0.56,1000,0,0,80.98,0.9960882315119903,calm
12416,50,32,18,91.78125,118.80000000000001,5,0,0.01,0.9841735052754983,418.74,0.64,1000,229,0,80.98,0.9960882315119903,panic
12417,50,41,9,85.39024390243902,141.0,7,0,0.133,1.0109211775878442,250.02,0.82,166,0,0,73.2,1.0193032981194805,calm
12417,50,41,9,86.90243902439025,144.0,6,0,0.0,0.9979654120040692,251.26,0.82,166,283,0,73.2,1.0193032981194805,panic
12418,50,42,8,98.38095238095238,157.8,6,0,0.0,0.9674556213017751,242.64,0.84,256,0,0,78.06,0.9762161246086589,calm
12418,50,31,19,78.54838709677419,118.0,6,0,0.031,0.955078125,428.7,0.62,223,524,0,78.06,0.9762161246086589,panic
12419,50,35,15,107.71428571428571,165.0,3,0,0.001,0.9993654822335025,375.4,0.7,256,0,0,91.08,0.9993645904934647,calm
12419,50,25,25,85.28,116.4,5,0,0.928,0.9686520376175548,542.64,0.5,1000,595,0,91.08,0.9993645904934647,panic
12420,50,41,9,86.02439024390245,130.0,5,0,0.0,0.9846153846153847,250.54,0.82,185,0,0,71.38,1.0091325022671043,calm
12420,50,40,10,89.175,139.9,4,0,0.0,0.9850905218317358,271.34,0.8,185,3,0,71.38,1.0091325022671043,panic
12421,50,40,10,94.425,133.1,3,0,0.008,0.9694694694694694,275.54,0.8,192,0,0,80.26,1.0015949047582662,calm
12421,50,34,16,92.79411764705883,129.0,4,0,0.0,0.9762484774665042,383.1,0.68,134,257,0,80.26,1.0015949047582662,panic
12422,50,38,12,98.42105263157895,166.50000000000003,3,0,0.0,1.0339181286549708,314.8,0.76,267,0,0,85.54,1.0253573538921852,calm
12422,50,38,12,98.36842105263158,166.50000000000003,3,0,0.0,1.0351515151515152,314.76,0.76,267,0,0,85.54,1.0253573538921852,panic
12423,50,29,21,89.41379310344827,133.39999999999998,4,0,0.004,0.9972183588317107,471.86,0.58,1000,0,0,98.44,0.9952658297355542,calm
12423,50,27,23,81.85185185185185,122.60000000000001,4,0,4.533,0.9784075573549258,504.2,0.54,1000,891,0,98.44,0.9952658297355542,panic
12424,50,40,10,91.65,147.0,4,0,0.003,0.9616876818622696,273.32,0.8,169,0,0,75.44,0.9696316882477215,calm
12424,50,27,23,89.92592592592592,154.20000000000005,4,0,0.908,0.9445910290237467,508.56,0.54,173,656,0,75.44,0.9696316882477215,panic
12425,50,34,16,83.11764705882354,132.4,4,0,0.0,0.9856115107913669,376.52,0.68,188,0,0,74.12,0.9757320993297587,calm
12425,50,38,12,85.86842105263158,134.20000000000002,5,0,0.841,0.9471252566735113,305.26,0.76,148,10,0,74.12,0.9757320993297587,panic
12426,50,36,14,82.61111111111111,111.0,4,0,0.011,1.0216154721274175,339.48,0.72,125,0,0,77.2,1.0264620248962588,calm
12426,50,37,13,85.29729729729729,112.6,4,0,0.016,1.026893523600439,323.12,0.74,124,527,0,77.2,1.0264620248962588,panic
12427,50,42,8,98.07142857142857,166.5,5,0,0.003,1.004950495049505,242.38,0.84,225,0,0,85.8,0.9957869228888764,calm
12427,50,26,24,79.1923076923077,120.0,5,0,0.915,0.9753623188405797,521.18,0.52,1000,333,0,85.8,0.9957869228888764,panic
12428,50,35,15,82.82857142857142,113.0,6,0,0.043,0.9934354485776805,357.98,0.7,158,0,0,69.28,1.0116582512418701,calm
12428,50,31,19,80.70967741935483,105.0,5,0,4.641,0.9715302491103203,430.04,0.62,1000,1727,0,69.28,1.0116582512418701,panic
12429,50,32,18,92.84375,139.5,4,0,0.01,0.9735169491525424,419.42,0.64,1000,0,0,80.86,0.9909947347928727,calm
12429,50,32,18,86.28125,139.5,4,0,0.036,0.9772036474164134,415.22,0.64,1000,792,0,80.86,0.9909947347928727,panic
12430,50,40,10,86.325,125.5,4,0,0.001,1.0196850393700787,269.06,0.8,122,0,0,67.52,1.0212797353385163,calm
12430,50,40,10,86.325,125.5,4,0,0.001,1.0196850393700787,269.06,0.8,122,0,0,67.52,1.0212797353385163,panic
12431,50,43,7,92.74418604651163,130.8,5,0,0.046,1.0,219.76,0.86,144,0,0,79.46,1.0105880944963193,calm
12431,50,32,18,97.0625,132.70000000000002,4,0,0.002,1.008724832214765,422.12,0.64,144,264,0,79.46,1.0105880944963193,panic
12432,50,28,22,67.14285714285714,91.9,4,0,0.01,1.010148849797023,477.6,0.56,1000,0,0,77.48,0.9990735662697624,calm
12432,50,41,9,89.4390243902439,137.0,4,0,0.0,1.0156862745098039,253.34,0.82,220,0,0,77.48,0.9990735662697624,panic
12433,50,34,16,85.32352941176471,131.2,5,0,0.013,0.9911347517730497,378.02,0.68,159,0,0,73.54,0.9961541269809245,calm
12433,50,37,13,90.43243243243244,136.8,6,0,0.008,0.9903518728717366,326.92,0.74,164,23,0,73.54,0.9961541269809245,panic
12434,50,43,7,100.11627906976744,159.20000000000002,4,0,0.0,0.9859154929577465,226.1,0.86,228,0,0,88.32,1.008858954179364,calm
12434,50,20,30,84.9,117.5,8,0,4.636,0.9419191919191919,633.96,0.4,1000,1152,0,88.32,1.008858954179364,panic
12435,50,11,39,56.27272727272727,66.0,3,0,0.012,1.075835475578406,792.38,0.22,1000,0,0,69.82,1.0137570225647539,calm
12435,50,29,21,78.82758620689656,109.2,5,0,0.996,1.019434628975265,465.72,0.58,115,794,1,69.82,1.0137570225647539,panic
12436,50,36,14,88.77777777777777,118.5,4,0,0.001,1.0199543899657926,343.92,0.72,171,0,0,90.16,1.0069239662856917,calm
12436,50,26,24,83.3076923076923,113.5,4,0,0.893,1.017216642754663,523.32,0.52,1000,814,0,90.16,1.0069239662856917,panic
12437,50,36,14,91.02777777777777,141.5,4,0,0.003,1.001098901098901,345.54,0.72,160,0,0,78.76,0.9983228206551279,calm
12437,50,36,14,91.22222222222223,141.5,4,0,0.837,1.0016556291390728,345.68,0.72,160,7,0,78.76,0.9983228206551279,panic
12438,50,27,23,77.44444444444444,107.80000000000001,4,0,0.024,0.9902597402597403,501.82,0.54,1000,0,0,76.72,0.9806115113262099,calm
12438,50,28,22,79.0,107.6,4,0,0.903,0.9887640449438202,484.24,0.56,1000,828,0,76.72,0.9806115113262099,panic
12439,50,21,29,68.47619047619048,87.0,3,0,0.008,1.0279279279279279,608.76,0.42,1000,0,0,87.08,1.0084607004360358,calm
12439,50,21,29,68.71428571428571,88.0,3,0,0.011,1.0268336314847943,608.86,0.42,1000,528,0,87.08,1.0084607004360358,panic
12440,50,23,27,74.34782608695652,109.80000000000001,4,0,0.018,1.0398936170212767,574.2,0.46,1000,0,0,77.12,1.0308040666580895,calm
12440,50,16,34,62.375,74.5,4,0,0.018,1.060428849902534,699.96,0.32,1000,289,0,77.12,1.0308040666580895,panic
12441,50,28,22,75.35714285714286,103.80000000000001,4,0,0.001,1.0020689655172415,482.2,0.56,1000,0,0,83.12,0.9999404564180547,calm
12441,50,24,26,75.375,99.89999999999999,4,0,0.003,0.9891472868217054,556.18,0.48,1000,791,0,83.12,0.9999404564180547,panic
12442,50,38,12,100.05263157894737,139.60000000000002,5,0,0.891,0.9850166481687015,316.04,0.76,181,0,0,91.36,0.9924963388624956,calm
